STATE,COUNTY,DONORS,AL_DONORS,AMOUNT
KY,Adair,24,12,28991.00
KY,Allen,16,24,32206.00
KY,Anderson,59,22,17545.67
KY,Ballard,2,0,90.00
KY,Barren,94,27,263112.17
KY,Bath,4,1,120.00
KY,Bell,11,9,23228.00
KY,Boone,283,132,271298.59
KY,Bourbon,35,9,65467.00
KY,Boyd,80,36,2060818.00
KY,Boyle,80,46,101766.72
KY,Bracken,9,1,3630.00
KY,Breathitt,6,6,1325.00
KY,Breckinridge,62,23,136299.92
KY,Bullitt,694,304,2560716.51
KY,Butler,11,1,43808.12
KY,Caldwell,18,8,4845.00
KY,Calloway,42,25,28368.90
KY,Campbell,164,82,975381.90
KY,Carlisle,1,0,1000.00
KY,Carroll,31,14,31270.00
KY,Carter,7,2,1600.00
KY,Casey,8,2,7245.00
KY,Christian,71,35,31057.50
KY,Clark,35,429,9368.00
KY,Clay,3,3,640.00
KY,Clinton,6,4,420.00
KY,Crittenden,7,5,7145.00
KY,Cumberland,4,2,1372.00
KY,Daviess,413,134,172503.20
KY,Edmonson,6,4,15800.00
KY,Elliott,7,2,2795.00
KY,Estill,7,2,9280.00
KY,Fayette,953,345,7018007.12
KY,Fleming,7,3,888.00
KY,Floyd,22,433,17909.13
KY,Franklin,254,87,37796675.91
KY,Fulton,6,2,560.00
KY,Gallatin,7,0,29240.00
KY,Garrard,21,8,3385.00
KY,Grant,26,16,31279.36
KY,Graves,37,9,52625.00
KY,Grayson,61,23,96821.00
KY,Green,16,9,12215.00
KY,Greenup,30,15,215664.39
KY,Hancock,24,19,3740.00
KY,Hardin,577,273,3016045.03
KY,Harlan,3,2,89.00
KY,Harrison,20,109,14518.03
KY,Hart,23,9,7505.00
KY,Henderson,76,28,200499.12
KY,Henry,124,65,255439.88
KY,Hopkins,87,35,831349.03
KY,Jackson,3,10,265.00
KY,Jefferson,28667,12837,543529401.97
KY,Jessamine,94,32,336563.12
KY,Johnson,11,27,7029.00
KY,Kenton,420,167,596217.32
KY,Knott,2,2,260.00
KY,Knox,6,7,6485.00
KY,Larue,46,17,15143.00
KY,Laurel,25,16,3194.00
KY,Lawrence,4,12,1225.00
KY,Lee,1,1,5.00
KY,Leslie,3,2,3995.00
KY,Letcher,6,5,3140.00
KY,Lewis,4,2,1975.00
KY,Lincoln,15,4,13296.86
KY,Livingston,6,1,5100.00
KY,Logan,20,9,4743.00
KY,Lyon,12,5,4485.00
KY,Madison,79,45,91816.66
KY,Magoffin,7,3,8692.09
KY,Marion,59,138,239503.20
KY,Marshall,30,17,11310.00
KY,Martin,2,2,220.00
KY,Mason,19,9,26568.67
KY,McCracken,168,86,11443374.29
KY,McCreary,4,2,670.00
KY,McLean,14,5,1310.00
KY,Meade,156,59,529402.46
KY,Mercer,34,15,20547.50
KY,Metcalfe,13,3,11850.00
KY,Monroe,68,49,20789.37
KY,Montgomery,17,9,6974.00
KY,Muhlenberg,28,12,27641.00
KY,Nelson,394,170,1234816.98
KY,Nicholas,5,4,963.00
KY,Ohio,32,10,15514.23
KY,Oldham,1386,732,12183220.59
KY,Owen,5,3,1745.00
KY,Pendleton,10,2,9995.00
KY,Perry,11,11,5715.00
KY,Pike,47,26,303653.63
KY,Powell,11,4,1790.00
KY,Pulaski,78,32,1154907.00
KY,Rockcastle,6,4,1805.00
KY,Rowan,14,8,2735.00
KY,Russell,45,17,53827.00
KY,Scott,105,70,213567.14
KY,Shelby,599,268,5479459.45
KY,Simpson,17,6,29516.00
KY,Spencer,177,95,373510.12
KY,Taylor,73,27,610185.43
KY,Todd,2,1,110.00
KY,Trigg,29,11,9726.00
KY,Trimble,28,13,2990.45
KY,Union,15,4,122108.65
KY,Warren,659,140,665709.97
KY,Washington,36,36,35586.00
KY,Wayne,10,6,8780.00
KY,Webster,12,5,21586.68
KY,Whitley,36,22,3099036.00
KY,Wolfe,5,5,3145.00
KY,Woodford,84,29,57550.69
