STATE,DONORS,AL_DONORS,AMOUNT
AK,37,28,59292.75
AL,270,171,2758280.80
AR,90,45,44432.00
AZ,231,138,2484827.35
CA,880,441,11239181.78
CO,282,142,4856441.36
CT,161,89,1248444.41
DC,111,37,4851075.55
DE,68,21,258431.86
FL,1600,916,15549075.08
GA,691,412,27495799.33
HI,36,22,584958.00
IA,83,31,485089.00
ID,43,30,30433.57
IL,797,280,87516808.39
IN,4133,1588,16132934.45
KS,210,51,627027.91
KY,38650,16993,641392810.29
LA,111,71,85489.68
MA,297,118,627781.92
MD,459,192,712290.26
ME,28,19,196654.25
MI,341,145,998519.68
MN,160,74,1164603.32
MO,337,178,374034.24
MS,78,50,99034.09
MT,17,10,24526.84
NC,665,412,6010312.18
ND,12,7,11840.00
NE,50,16,644140.91
NH,48,30,29810.00
NJ,446,161,6327017.86
NM,47,31,172177.23
NV,64,45,164419.76
NY,589,219,24272893.09
OH,1229,596,3378758.68
OK,91,39,2153837.14
OR,120,71,1039486.97
PA,554,190,2044169.54
RI,39,17,2149169.99
SC,366,239,1576550.05
SD,9,4,5733.00
TN,810,464,4145550.24
TX,836,489,18019251.72
UT,90,55,153489.20
VA,662,427,2750587.57
VT,21,9,3463.14
WA,149,93,471208.28
WI,203,92,370399.27
WV,89,52,363777.44
WY,12,10,5430.00
